Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2932;Leipzig/Halle;FX;26.10.1976;26.10.1976;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;17.11.1976;18.11.1976;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;21.11.1976;21.11.1976;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;23.12.1976;23.12.1976;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;05.01.1977;05.01.1977;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;19.01.1977;20.01.1977;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;31.01.1977;31.01.1977;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;02.02.1977;02.02.1977;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;09.08.1977;09.08.1977;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;20.09.1977;20.09.1977;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;28.10.1977;28.10.1977;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;05.12.1977;05.12.1977;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;22.01.1978;22.01.1978;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;04.02.1978;04.02.1978;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;01.04.1978;01.04.1978;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;28.07.1978;28.07.1978;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;08.09.1978;08.09.1978;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;18.10.1978;18.10.1978;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;31.10.1978;31.10.1978;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;FX;02.12.1978;02.12.1978;1;;eor;                                                                                                                                                     
